Wavelength,Intensity
6.280359000000000378e+03,2.100000000000000000e+01
6.280890000000000327e+03,2.400000000000000000e+01
6.281164799999999559e+03,3.300000000000000000e+01
6.281522700000000441e+03,3.900000000000000000e+01
6.281542999999999665e+03,5.400000000000000000e+01
6.281653000000000247e+03,1.000000000000000000e+01
6.282448999999999614e+03,2.100000000000000000e+01
6.283140999999999622e+03,2.800000000000000000e+01
6.283212999999999738e+03,5.000000000000000000e+00
6.285145999999999731e+03,1.400000000000000000e+01
6.285453000000000429e+03,1.000000000000000000e+01
6.285970999999999549e+03,2.200000000000000000e+01
6.286045299999999770e+03,2.000000000000000000e+02
6.286713999999999942e+03,1.500000000000000000e+01
6.287255149999999958e+03,5.200000000000000000e+02
6.287570399999999609e+03,9.000000000000000000e+01
6.288073999999999614e+03,2.100000000000000000e+01
6.289158999999999651e+03,2.100000000000000000e+01
6.289271300000000338e+03,5.000000000000000000e+01
6.289585000000000036e+03,1.900000000000000000e+01
6.289692000000000007e+03,2.700000000000000000e+01
6.290403500000000349e+03,6.600000000000000000e+01
6.291191289999999753e+03,1.700000000000000000e+03
6.291628600000000006e+03,1.700000000000000000e+02
6.292060099999999693e+03,3.000000000000000000e+02
6.292186999999999898e+03,4.300000000000000000e+01
6.292891209999999774e+03,6.800000000000000000e+02
6.293036000000000058e+03,3.200000000000000000e+01
6.293242330000000038e+03,1.400000000000000000e+03
6.294155600000000049e+03,3.600000000000000000e+01
6.294283000000000357e+03,2.100000000000000000e+01
6.294340000000000146e+03,2.100000000000000000e+01
6.295166000000000167e+03,2.800000000000000000e+01
6.296104500000000371e+03,1.100000000000000000e+02
6.296426000000000386e+03,1.000000000000000000e+01
6.297426000000000386e+03,3.200000000000000000e+01
6.297581000000000131e+03,1.000000000000000000e+01
6.297777000000000044e+03,1.100000000000000000e+02
6.298902699999999641e+03,2.500000000000000000e+02
6.299446399999999812e+03,3.700000000000000000e+01
6.299527000000000044e+03,2.100000000000000000e+01
6.300916390000000320e+03,1.100000000000000000e+03
6.301412800000000061e+03,4.900000000000000000e+02
6.302470699999999852e+03,1.000000000000000000e+02
6.303077000000000226e+03,1.200000000000000000e+01
6.303250699999999597e+03,1.000000000000000000e+03
6.305276700000000346e+03,2.300000000000000000e+02
6.305356999999999971e+03,1.400000000000000000e+02
6.307432700000000295e+03,4.600000000000000000e+01
6.307864099999999780e+03,7.700000000000000000e+01
6.309756000000000313e+03,4.300000000000000000e+01
6.310810470000000350e+03,1.200000000000000000e+03
6.311096999999999753e+03,5.400000000000000000e+01
6.311453000000000429e+03,1.100000000000000000e+02
6.311945099999999911e+03,8.500000000000000000e+01
6.312622199999999793e+03,3.400000000000000000e+02
6.314269299999999930e+03,1.100000000000000000e+02
6.314439999999999600e+03,2.100000000000000000e+01
6.315774959999999737e+03,8.900000000000000000e+02
6.316060999999999694e+03,5.300000000000000000e+01
6.317182999999999993e+03,4.600000000000000000e+02
6.317610999999999876e+03,2.900000000000000000e+01
6.318301900000000387e+03,4.200000000000000000e+01
6.318399000000000342e+03,1.000000000000000000e+01
6.318693599999999606e+03,9.200000000000000000e+01
6.319163499999999658e+03,2.400000000000000000e+02
6.319264000000000124e+03,1.100000000000000000e+02
6.319752999999999702e+03,2.100000000000000000e+01
6.321300400000000081e+03,1.900000000000000000e+02
6.321707500000000437e+03,3.200000000000000000e+01
6.321818699999999808e+03,2.700000000000000000e+02
6.321965000000000146e+03,2.100000000000000000e+01
6.322866200000000390e+03,5.900000000000000000e+01
6.323055000000000291e+03,2.100000000000000000e+01
6.324104000000000269e+03,3.100000000000000000e+01
6.324397799999999734e+03,2.400000000000000000e+02
6.324662000000000262e+03,2.100000000000000000e+01
6.325004799999999705e+03,1.200000000000000000e+02
6.325590000000000146e+03,8.600000000000000000e+02
6.326177999999999884e+03,8.400000000000000000e+01
6.326366810000000442e+03,2.400000000000000000e+03
6.327277629999999590e+03,6.900000000000000000e+03
6.328262999999999920e+03,2.100000000000000000e+01
6.328807899999999790e+03,1.300000000000000000e+02
6.329298899999999776e+03,1.500000000000000000e+02
6.330287000000000262e+03,7.000000000000000000e+00
6.330375699999999597e+03,6.500000000000000000e+01
6.331413700000000063e+03,9.900000000000000000e+02
6.332684000000000196e+03,8.400000000000000000e+01
6.333016999999999825e+03,1.000000000000000000e+01
6.334922999999999774e+03,1.300000000000000000e+01
6.335011700000000019e+03,1.000000000000000000e+02
6.335701500000000124e+03,1.400000000000000000e+02
